query_id,answer
438,1909 4234 4396 4403 4286 4308 4387 1901 1907 1899
439,4440 4219 2886 3128 2204 2171 2968 4389 3643 4395
440,4219 2646 4214 4395 4308 4384 4424 1951 4396 4389
441,4219 2646 4440 4234 4389 4313 1951 3564 4010 3565
442,4395 4214 4219 4424 2646 4301 4235 4389 4276 4328
443,4219 2865 4400 1966 4384 2646 4387 4403 2696 2831
444,4451 2698 4214 4234 3314 2295 4308 4440 4227 4447
445,4286 4234 4328 4308 1951 4396 4219 1907 1899 3467
446,4423 4364 4384 4232 4403 2646 4219 4361 4220 2408
447,4219 1958 4387 4384 2646 4234 4400 1966 2865 4308
448,4219 4400 1966 2646 4387 4440 4384 2865 4403 2831
449,4387 1958 4219 4400 2646 4234 2865 4384 4403 1966
450,4219 2646 4234 1966 4218 4384 4361 4400 2831 4331
451,1951 4214 4234 3467 4308 4320 2698 3128 3861 2665
452,4219 2646 4308 4384 4214 4389 4234 1951 4395 3127
453,4440 4384 4219 2646 4389 4218 3078 2886 4313 1966
454,4234 4451 4396 4219 4361 4445 4308 1901 4209 4400
455,1951 4234 4214 2698 4361 4286 4532 4400 2646 4403
456,4234 4361 4384 4440 2521 4257 4218 4219 2037 4406
457,1951 4234 4308 2698 3467 4214 1899 4219 4286 2646
458,4320 4433 1951 3862 4321 4440 2918 4354 3861 3467
459,4423 4364 4318 3028 4232 2917 4220 4395 2909 4321
460,4219 2646 4361 4234 1966 4384 4400 2865 4308 4403
461,4219 4214 2646 4395 4424 4308 4384 4389 2665 4396
462,4234 4308 4433 2196 4408 2222 4134 1951 4219 4451
463,4219 4384 1966 2865 2646 4361 4440 3470 3078 4389
464,4328 2865 4332 4395 4219 4384 2646 2696 2962 2295
465,4219 1966 4361 4234 2865 4387 2646 4286 4384 4400
466,2209 4440 4423 4134 2706 4389 4433 4214 3256 3255
467,4234 1951 2698 4214 4361 4308 4400 4403 4532 4219
468,4307 4433 2794 2222 4008 4440 4328 4219 4396 4361
469,3128 4008 2663 2222 4440 2794 4389 2646 4219 4396
470,4219 4400 4384 4387 2865 4532 2646 1966 4440 2831
471,4276 2095 3580 4234 4180 4204 4400 4451 4361 4310
472,3993 4134 4224 4276 4440 4371 2895 2222 3128 4269
473,4440 4219 4384 1966 2646 4361 3078 3470 4222 2220
474,1951 4214 4234 3467 4308 4286 4328 4320 2698 4219
475,4440 4219 2894 2886 2865 4389 4371 4205 2696 4384
476,4440 4219 4389 2646 4384 2220 4395 4214 4373 4276
477,4440 3128 2663 2968 4389 2886 3643 2894 3151 2220
478,4219 2646 1966 4384 2865 4387 4234 4440 4308 1958
479,4328 4234 1909 4308 4286 1951 4396 1899 1918 1958
480,4219 4400 4384 2865 1966 2646 3470 3078 2831 2696
481,3128 2663 2795 2948 4440 2204 4134 3932 3643 4389
482,4234 1951 4286 4328 2698 1901 4214 4396 4532 1899
483,4396 4328 1907 4234 1909 4387 3467 4286 4308 1837
484,4219 2646 1966 4384 4440 4400 2865 4361 4387 3078
485,1966 4400 4219 2865 4387 2646 4403 4308 2831 4532
486,4308 4234 4219 1951 4361 4396 4214 2646 4403 1909
487,1909 4234 4308 4328 4396 4219 4286 1910 1918 4362
488,3467 1951 4234 4320 3861 4286 4328 4308 4214 2698
489,4214 4234 2698 4219 1951 2665 2646 4361 4308 4451
490,4219 4384 2646 4361 4440 4234 4389 4400 4308 1966
491,4395 4219 4214 2646 4440 4424 4384 4308 4389 4361
492,4219 4384 2646 4387 1958 1966 2865 4400 4234 3470
493,4440 3128 4307 3643 4287 2894 4389 2886 2220 3993
494,4214 4234 2698 1951 4451 4308 2646 4219 4433 4384
495,4423 4364 4232 4012 4372 4307 4083 3661 2668 4318
496,4234 1909 4361 4396 4219 2646 4387 4308 1958 4331
497,4395 4219 2646 4214 4424 4389 2521 2944 4387 3843
498,4219 4400 2865 4384 4361 4387 2831 4234 2646 1958
499,4214 2698 4234 2665 4433 3995 2217 4451 4307 4328
500,4234 4433 4362 2196 4308 3467 1951 4396 4451 1909
